year,title,authors,source_url
2009,5. Maurice Blanchot: The Use and Abuse of Silence,,https://doi.org/10.1515/9781400825967.187
2010,Parables of Exposure,"Erik Larsen, None None",https://doi.org/10.5840/levinas2010512
2010,A Cluster of Bloodstream Infections Caused by<i>Streptococcus gallolyticus</i>Subspecies<i>pasteurianus</i>That Involved 5 Preterm Neonates in a University Hospital during a 2-Month Period,"Nathalie Floret, Pascale Bailly, Michelle Thouverez, Catherine Blanchot, Dolores Alez-Martin, Alain Menget, Gérard Thiriez, Bruno Hoen, Daniel Talon, Xavier Bertrand",https://doi.org/10.1086/650380
2010,"The Political Share of Literature: Maurice Blanchot, 1931–1937",Hannes Opelz,https://doi.org/10.3366/e0264833409000753
2010,Chapter 3 The Insistent Dog: Blanchot and the Community without Animals,,https://doi.org/10.1515/9780748642311-006
2010,Y a-t-il <i>lieu</i> de traduire ? Maurice Blanchot et la <i>mise en demeure</i> du langage philosophique,Yves Gilonne,https://doi.org/10.3366/nfs.2010-2.007
2010,"The Dismembered Community: Bataille, Blanchot, Leiris, and the Remains of Laure The Dismembered Community: Bataille, Blanchot, Leiris, and the Remains of Laure. By M
            <scp>ilo</scp>
            S
            <scp>weedler</scp>
            . Newark: University of Delaware Press, 2009. 214 pp. Hb. $50.00.",Patrick Ffrench,https://doi.org/10.1093/fs/knq071
2010,The Task of the Doppelgänger:,,https://doi.org/10.2307/j.ctt13x097j.8
2011,The Other Night,Barnaby Norman,https://doi.org/10.59860/wph.a8d3331
2011,"Radical Indecision: Barthes, Blanchot, Derrida, and the Future of Criticism Radical Indecision: Barthes, Blanchot, Derrida, and the Future of Criticism. By L
            <scp>eslie</scp>
            H
            <scp>ill</scp>
            . Notre Dame, IN: University of Notre Dame Press, 2010. xiv + 438 pp. Pb $45.00.",Gary D. Mole,https://doi.org/10.1093/fs/knr064
2011,"The Disappearance of Literature: Blanchot, Surrealism, Futurity",Leslie Hill,https://doi.org/10.3366/nfs.2011-3.009
2011,"Blanchot, Jane",,https://doi.org/10.1093/benz/9780199773787.article.b00020635
2011,"Blanchot, Léon Alexandre",,https://doi.org/10.1093/benz/9780199773787.article.b00020636
2011,"Blanchot, Cyrille Élysée Étienne",,https://doi.org/10.1093/benz/9780199773787.article.b00020633
2012,Renewing the Infinite Conversation,"Joe Hughes, None None",https://doi.org/10.5840/philtoday20125647
2012,"Bataille, Beckett, Blanchot: From the Impossible to the Unknowing",Jean-Michel Rabaté,https://doi.org/10.3366/jobs.2012.0033
2012,"On Parole: Legacies of Saussure, Blanchot, and Paulhan",Kevin Newmark,https://doi.org/10.5422/fordham/9780823240128.003.0010
2012,"<i>L'Arrêt de mort</i>, Insomnia, Dreaming, Sleep: Derrida, Blanchot, Levinas",Simon Morgan Wortham,https://doi.org/10.3366/drt.2012.0031
2012,"The Inorganic Community: Hypotheses on Literary Communism in Novalis, Benjamin, and Blanchot",Emmanuel Alloa,https://doi.org/10.1215/01903659-1730626
2012,THE ABSENT AUTHOR:,,https://doi.org/10.2307/j.ctvqsdp3k.8
2013,"A pooled analysis of six month comparative efficacy and tolerability in four randomized clinical trials: agomelatine versus escitalopram, fluoxetine, and sertraline","Koen Demyttenaere, Emanuelle Corruble, Anthony Hale, Maria-Antonia Quera-Salva, Françoise Picarel-Blanchot, Siegfried Kasper",https://doi.org/10.1017/s1092852913000060
